Year,m,d,Time,Cloud amount (1/8),Pressure (msl) (hPa),Relative humidity (%),Precipitation intensity (mm/h),Snow depth (cm),Air temperature (degC),Dew-point temperature (degC),Horizontal visibility (m),Wind direction (deg),Gust speed (m/s),Wind speed (m/s),area
2017,1,6,16,0.0,1037.4,82.0,0.0,13.0,-22.0,-24.2,28760.0,106.0,3.1,2.5,1
2017,1,6,17,0.0,1036.9,86.0,0.0,13.0,-19.7,-21.5,3410.0,119.0,1.7,1.1,1
2017,1,6,18,0.0,1036.1,86.0,0.0,13.0,-20.3,-22.1,11140.0,129.0,3.4,2.8,1
2017,1,6,19,5.0,1035.0,87.0,0.0,13.0,-18.0,-19.7,1480.0,150.0,3.9,2.8,1
2017,1,6,20,7.0,1034.2,92.0,0.0,13.0,-12.9,-14.0,13450.0,202.0,5.0,4.1,1
2017,1,6,21,8.0,1033.3,92.0,0.0,13.0,-9.4,-10.4,47620.0,189.0,8.7,5.9,1
2017,1,6,22,8.0,1032.3,91.0,0.0,13.0,-8.4,-9.7,35500.0,199.0,9.7,7.7,1
2017,1,6,23,8.0,1031.0,89.0,0.0,13.0,-8.5,-10.0,27530.0,195.0,11.5,8.2,1
2017,1,7,0,8.0,1029.7,88.0,0.0,13.0,-7.3,-8.9,16290.0,189.0,9.5,6.8,1
2017,1,7,1,8.0,1028.2,92.0,0.0,13.0,-6.9,-8.0,30230.0,195.0,9.9,7.6,1
2017,1,7,2,8.0,1027.0,92.0,0.0,13.0,-5.9,-7.0,5440.0,199.0,11.5,8.7,1
2017,1,7,3,8.0,1025.5,92.0,0.0,12.0,-5.6,-6.6,4830.0,196.0,13.5,10.6,1
2017,1,7,4,8.0,1024.4,92.0,0.0,12.0,-5.7,-6.7,4140.0,194.0,14.0,10.0,1
2017,1,7,5,8.0,1023.2,92.0,0.0,12.0,-5.8,-6.9,2640.0,199.0,15.1,11.7,1
